iter	Passed	Remaining
0	164	164499
1	181	90473
2	205	68426
3	228	56875
4	250	49845
5	285	47249
6	315	44694
7	359	44626
8	389	42861
9	419	41575
10	456	41030
11	476	39192
12	494	37561
13	516	36391
14	545	35853
15	579	35631
16	602	34855
17	625	34136
18	645	33352
19	666	32669
20	694	32366
21	715	31803
22	739	31407
23	763	31052
24	790	30828
25	813	30473
26	838	30210
27	860	29879
28	880	29472
29	904	29232
30	926	28945
31	945	28606
32	971	28471
33	997	28349
34	1027	28321
35	1050	28133
36	1076	28005
37	1097	27784
38	1124	27700
39	1151	27645
40	1173	27452
41	1197	27313
42	1219	27136
43	1241	26980
44	1263	26807
45	1294	26852
46	1318	26733
47	1347	26720
48	1372	26641
49	1404	26676
50	1443	26856
51	1466	26739
52	1490	26640
53	1516	26570
54	1545	26553
55	1566	26400
56	1589	26296
57	1614	26226
58	1642	26199
59	1671	26183
60	1700	26183
61	1729	26165
62	1754	26091
63	1780	26045
64	1804	25952
65	1833	25947
66	1857	25868
67	1879	25760
68	1900	25648
69	1926	25593
70	1950	25521
71	1971	25416
72	1997	25368
73	2022	25310
74	2054	25337
75	2083	25333
76	2106	25249
77	2126	25136
78	2146	25025
79	2173	24991
80	2200	24971
81	2222	24881
82	2245	24810
83	2270	24759
84	2294	24698
85	2319	24655
86	2342	24586
87	2365	24515
88	2388	24444
89	2417	24439
90	2461	24588
91	2487	24545
92	2509	24469
93	2539	24476
94	2567	24454
95	2592	24413
96	2618	24379
97	2640	24303
98	2663	24237
99	2685	24172
100	2712	24140
101	2738	24108
102	2762	24055
103	2786	24004
104	2806	23926
105	2834	23908
106	2852	23808
107	2874	23742
108	2894	23658
109	2921	23639
110	2941	23555
111	2964	23505
112	2989	23467
113	3015	23434
114	3037	23377
115	3056	23296
116	3083	23268
117	3121	23335
118	3148	23305
119	3180	23320
120	3214	23348
121	3242	23337
122	3274	23347
123	3313	23407
124	3355	23489
125	3381	23453
126	3417	23492
127	3449	23496
128	3472	23447
129	3498	23416
130	3527	23399
131	3546	23320
132	3572	23285
133	3594	23228
134	3618	23184
135	3643	23146
136	3667	23102
137	3691	23061
138	3716	23018
139	3739	22973
140	3763	22929
141	3789	22895
142	3808	22823
143	3830	22771
144	3861	22766
145	3895	22788
146	3925	22776
147	3948	22729
148	3974	22699
149	3997	22654
150	4024	22627
151	4046	22574
152	4065	22505
153	4087	22453
154	4108	22400
155	4130	22348
156	4148	22274
157	4169	22218
158	4191	22168
159	4217	22140
160	4242	22108
161	4272	22101
162	4303	22097
163	4326	22053
164	4352	22027
165	4377	21993
166	4406	21979
167	4437	21978
168	4459	21928
169	4483	21888
170	4504	21840
171	4533	21822
172	4559	21796
173	4579	21737
174	4605	21712
175	4628	21670
176	4657	21654
177	4679	21610
178	4708	21594
179	4729	21544
180	4749	21492
181	4767	21429
182	4789	21383
183	4810	21332
184	4832	21287
185	4852	21237
186	4871	21180
187	4895	21145
188	4915	21090
189	4932	21030
190	4953	20982
191	4972	20924
192	4992	20875
193	5014	20831
194	5028	20759
195	5044	20694
196	5063	20639
197	5085	20600
198	5106	20555
199	5126	20507
200	5144	20448
201	5167	20414
202	5193	20389
203	5214	20347
204	5237	20311
205	5262	20282
206	5280	20230
207	5306	20206
208	5329	20170
209	5347	20116
210	5369	20079
211	5398	20064
